"city1";"city2";"avg_fare";"total_passengers";"number_of_trips"
"Boston, MA (Metropolitan Area)";"Washington, DC (Metropolitan Area)";164.730299;760250.0;1104
"Boston, MA (Metropolitan Area)";"Chicago, IL";184.105603;418354.0;746
"Boston, MA (Metropolitan Area)";"Charleston, SC";198.373848;37453.0;330
"Boston, MA (Metropolitan Area)";"Charlotte, NC";213.245791;127274.0;354
"Boston, MA (Metropolitan Area)";"Columbus, OH";202.605897;51731.0;351
"Boston, MA (Metropolitan Area)";"St. Louis, MO";235.408814;67833.0;354
"Boston, MA (Metropolitan Area)";"Myrtle Beach, SC";168.209725;26690.0;291
"Boston, MA (Metropolitan Area)";"Jacksonville, FL";170.187062;65315.0;354
"Boston, MA (Metropolitan Area)";"Detroit, MI";231.401475;120067.0;366
"Boston, MA (Metropolitan Area)";"Houston, TX";248.381725;119698.0;806
"Boston, MA (Metropolitan Area)";"Orlando, FL";150.568479;463038.0;355
"Boston, MA (Metropolitan Area)";"Minneapolis/St. Paul, MN";267.956667;125886.0;354
"Boston, MA (Metropolitan Area)";"New York City, NY (Metropolitan Area)";234.128236;521908.0;1491
"Boston, MA (Metropolitan Area)";"Fort Myers, FL";175.047051;158954.0;356
"Boston, MA (Metropolitan Area)";"Las Vegas, NV";224.96726;159371.0;354
"Boston, MA (Metropolitan Area)";"Indianapolis, IN";210.233842;55934.0;354
"Boston, MA (Metropolitan Area)";"San Francisco, CA (Metropolitan Area)";295.15951;358223.0;1062
"Boston, MA (Metropolitan Area)";"Miami, FL (Metropolitan Area)";183.287895;384165.0;708
"Boston, MA (Metropolitan Area)";"Los Angeles, CA (Metropolitan Area)";287.977595;355174.0;1705
"Boston, MA (Metropolitan Area)";"Louisville, KY";206.861685;20755.0;279
"Boston, MA (Metropolitan Area)";"Cincinnati, OH";264.344972;50380.0;354
"Boston, MA (Metropolitan Area)";"Sacramento, CA";275.582229;26618.0;323
"Boston, MA (Metropolitan Area)";"Tampa, FL (Metropolitan Area)";162.745144;247022.0;383
"Boston, MA (Metropolitan Area)";"Kansas City, MO";215.20293;56343.0;355
"Boston, MA (Metropolitan Area)";"San Antonio, TX";244.712678;34288.0;351
"Boston, MA (Metropolitan Area)";"Milwaukee, WI";218.07531;49594.0;339
"Boston, MA (Metropolitan Area)";"New Orleans, LA";202.782542;63164.0;354
"Boston, MA (Metropolitan Area)";"San Diego, CA";267.13613;114975.0;354
"Boston, MA (Metropolitan Area)";"Norfolk, VA (Metropolitan Area)";189.079586;48124.0;701
"Boston, MA (Metropolitan Area)";"West Palm Beach/Palm Beach, FL";172.281808;143568.0;354
"Boston, MA (Metropolitan Area)";"Portland, OR";287.898503;53940.0;354
"Boston, MA (Metropolitan Area)";"Philadelphia, PA";197.635;234542.0;354
"Boston, MA (Metropolitan Area)";"Raleigh/Durham, NC";168.201469;126586.0;354
"Boston, MA (Metropolitan Area)";"Richmond, VA";203.250678;51028.0;354
"Boston, MA (Metropolitan Area)";"Salt Lake City, UT";280.02404;58137.0;354
"Boston, MA (Metropolitan Area)";"Savannah, GA";202.713994;27776.0;318
"Boston, MA (Metropolitan Area)";"Sarasota/Bradenton, FL";188.592846;22829.0;246
"Burlington, VT";"Washington, DC (Metropolitan Area)";220.894063;16971.0;192
"Buffalo, NY";"Dallas/Fort Worth, TX";216.302378;15634.0;143
"Buffalo, NY";"Washington, DC (Metropolitan Area)";164.666412;64702.0;354
"Buffalo, NY";"Chicago, IL";166.487131;52444.0;237
"Buffalo, NY";"New York City, NY (Metropolitan Area)";172.35859;177263.0;702
"Buffalo, NY";"Miami, FL (Metropolitan Area)";167.346795;57522.0;234
"Buffalo, NY";"Los Angeles, CA (Metropolitan Area)";264.248739;38039.0;571
